datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
29-12-19 12,117.777954,429.10583,283.0706299,146.0352051
29-12-19 13,142.65582,311.96024,230.7340321,81.22620346
29-12-19 14,127.977844,168.21301,136.6663923,31.54662042
29-12-19 15,95.15069,96.795715,31.98931871,64.80639662
29-12-19 16,63.399952,48.021908,0,48.02190781
29-12-19 17,15.346027,54.815765,0,54.81576538
29-12-19 18,0,58.006535,0,58.00653458
29-12-19 19,0,45.438774,0,45.43877411
29-12-19 20,0,45.438774,0,45.43877411
29-12-19 21,0,45.438774,0,45.43877411
29-12-19 22,0,45.438774,0,45.43877411
29-12-19 23,0,45.438774,0,45.43877411
30-12-19 00,0,45.438774,0,45.43877411
30-12-19 01,0,45.438774,0,45.43877411
30-12-19 02,0,45.438774,0,45.43877411
30-12-19 03,0,45.438774,0,45.43877411
30-12-19 04,0,45.438774,0,45.43877411
30-12-19 05,0,45.438774,0,45.43877411
30-12-19 06,0,45.438774,0,45.43877411
30-12-19 07,0,45.438774,0,45.43877411
30-12-19 08,0,45.438774,22.61224702,22.82652709
30-12-19 09,0,72.96189,466.1620528,-393.2001617
30-12-19 10,27.078375,1430.2124,2108.495654,-678.283252
30-12-19 11,84.09089,2045.7649,2411.169805,-365.4049127
30-12-19 12,115.32197,1873.5848,925.9016416,947.6831972
30-12-19 13,148.20183,621.99304,228.8775303,393.1155117
30-12-19 14,150.0311,151.32227,91.626233,59.69603263
30-12-19 15,120.84602,86.81675,34.52176221,52.29498737
30-12-19 16,67.28189,51.497078,0,51.49707794
30-12-19 17,15.3512335,55.8434,0,55.84339905
30-12-19 18,0,58.01066,0,58.01065826
30-12-19 19,0,45.438774,0,45.43877411
30-12-19 20,0,45.438774,0,45.43877411
30-12-19 21,0,45.438774,0,45.43877411
30-12-19 22,0,45.438774,0,45.43877411
30-12-19 23,0,45.438774,0,45.43877411
31-12-19 00,0,45.438774,0,45.43877411
31-12-19 01,0,45.438774,0,45.43877411
31-12-19 02,0,45.438774,0,45.43877411
31-12-19 03,0,45.438774,0,45.43877411
31-12-19 04,0,45.438774,0,45.43877411
31-12-19 05,0,45.438774,0,45.43877411
31-12-19 06,0,45.438774,0,45.43877411
31-12-19 07,0,45.438774,0,45.43877411
31-12-19 08,0,45.438774,1.297334217,44.14143989
31-12-19 09,0,47.023193,321.902397,-274.8792036
31-12-19 10,10.260151,1089.5336,1777.404168,-687.870599
31-12-19 11,22.14562,1607.86,1342.033505,265.8264808
31-12-19 12,88.673965,933.5347,308.5569,624.977829
31-12-19 13,105.27585,188.00699,259.1551481,-71.14815958
31-12-19 14,147.08627,343.26053,105.1299477,238.1305809
31-12-19 15,108.07411,84.13749,3.937370836,80.20011848
31-12-19 16,58.857193,31.597403,0,31.59740257
31-12-19 17,7.614968,77.26742,0,77.26741791
31-12-19 18,0,50.671616,0,50.6716156
31-12-19 19,0,45.438774,0,45.43877411
31-12-19 20,0,45.438774,0,45.43877411
31-12-19 21,0,45.438847,0,45.43884659
31-12-19 22,0,45.438847,0,45.43884659
31-12-19 23,0,45.438774,0,45.43877411
01-01-20 00,0,45.438774,0,45.43877411
01-01-20 01,0,45.438774,0,45.43877411
01-01-20 02,0,45.438774,0,45.43877411
01-01-20 03,0,45.438774,0,45.43877411
01-01-20 04,0,45.438774,0,45.43877411
01-01-20 05,0,45.438774,0,45.43877411
01-01-20 06,0,45.438774,0,45.43877411
01-01-20 07,0,45.438774,0,45.43877411
01-01-20 08,0,45.438774,186.4066954,-140.9679213
01-01-20 09,0,665.16406,1618.775287,-953.6112247
01-01-20 10,15.406555,1939.2499,2631.291975,-692.0420974
01-01-20 11,49.6436,2636.2603,1599.235797,1037.024457
01-01-20 12,107.72251,1037.821,1330.791593,-292.9705478
01-01-20 13,117.20019,795.678,1217.568999,-421.8910208
01-01-20 14,107.544754,710.6461,1050.13996,-339.4938419
01-01-20 15,92.819405,599.2273,339.5462016,259.6810933
01-01-20 16,67.83899,106.55225,0.879946029,105.6723077
01-01-20 17,17.688654,26.802303,0,26.80230331
01-01-20 18,0,61.287006,0,61.28700638
01-01-20 19,0,45.438774,0,45.43877411
01-01-20 20,0,45.438774,0,45.43877411
01-01-20 21,0,45.438774,0,45.43877411
01-01-20 22,0,45.438774,0,45.43877411
01-01-20 23,0,45.438774,0,45.43877411
02-01-20 00,0,45.438774,0,45.43877411
02-01-20 01,0,45.438774,0,45.43877411
02-01-20 02,0,45.438774,0,45.43877411
02-01-20 03,0,45.438774,0,45.43877411
02-01-20 04,0,45.438774,0,45.43877411
02-01-20 05,0,45.438847,0,45.43884659
02-01-20 06,0,45.438847,0,45.43884659
02-01-20 07,0,45.438774,0,45.43877411
02-01-20 08,0,45.438774,190.8639486,-145.4251744
02-01-20 09,0,681.77686,1558.973881,-877.1970254
02-01-20 10,26.61599,1929.4971,2159.108875,-229.6118048
02-01-20 11,86.54869,2039.4089,2630.254912,-590.845976
02-01-20 12,132.74673,2225.9067,2268.817704,-42.91096561
02-01-20 13,157.381,1616.703,1778.108095,-161.405092
02-01-20 14,157.24506,1014.0544,1494.387173,-480.3327907
02-01-20 15,126.972,815.34644,292.9410528,522.4053827
02-01-20 16,78.4835,94.98768,0.231578352,94.75610018
02-01-20 17,19.0933,30.609936,0,30.60993576
02-01-20 18,0,64.18828,0,64.1882782
02-01-20 19,0,45.438774,0,45.43877411
02-01-20 20,0,45.438774,0,45.43877411
02-01-20 21,0,45.438774,0,45.43877411
02-01-20 22,0,45.438774,0,45.43877411
02-01-20 23,0,45.438774,0,45.43877411
03-01-20 00,0,45.438774,0,45.43877411
03-01-20 01,0,45.438774,0,45.43877411
03-01-20 02,0,45.438774,0,45.43877411
03-01-20 03,0,45.438774,0,45.43877411
03-01-20 04,0,45.438774,0,45.43877411
03-01-20 05,0,45.438774,0,45.43877411
03-01-20 06,0,45.438774,0,45.43877411
03-01-20 07,0,45.438774,0,45.43877411
03-01-20 08,0,45.438774,227.2928152,-181.8540411
03-01-20 09,0,811.1397,1646.978763,-835.8390531
03-01-20 10,24.28443,1901.3922,2555.955268,-654.5630563
03-01-20 11,82.705086,2567.7808,2179.794123,387.9866386
03-01-20 12,127.34799,1616.9822,1909.26397,-292.2817925
03-01-20 13,149.93596,1249.6987,391.674528,858.0242024
03-01-20 14,148.3176,293.8554,178.9767705,114.8786372
03-01-20 15,124.58589,115.25286,16.26921588,98.98364514
03-01-20 16,80.952484,43.98835,0,43.98834991
03-01-20 17,21.430933,53.44819,0,53.44818878
03-01-20 18,0,68.85735,0,68.85735321
03-01-20 19,0,45.438774,0,45.43877411
03-01-20 20,0,45.438774,0,45.43877411
03-01-20 21,0,45.438774,0,45.43877411
03-01-20 22,0,45.438774,0,45.43877411
03-01-20 23,0,45.438774,0,45.43877411
04-01-20 00,0,45.438774,0,45.43877411
04-01-20 01,0,45.438774,0,45.43877411
04-01-20 02,0,45.438774,0,45.43877411
04-01-20 03,0,45.438774,0,45.43877411
04-01-20 04,0,45.438774,0,45.43877411
04-01-20 05,0,45.438774,0,45.43877411
04-01-20 06,0,45.438774,0,45.43877411
04-01-20 07,0,45.438774,0,45.43877411
04-01-20 08,0,45.438774,38.86089795,6.577876155
04-01-20 09,0,104.354324,158.2254626,-53.87113825
04-01-20 10,19.149832,400.80182,514.3852833,-113.5834644
04-01-20 11,53.7016,821.3187,1139.614269,-318.295543
04-01-20 12,124.919106,1370.7784,218.5704416,1152.208001
04-01-20 13,151.5141,200.26045,110.9213724,89.33907984
04-01-20 14,108.09423,91.70902,23.80861693,67.90040559
04-01-20 15,6.2038307,99.93612,0,99.93611908
04-01-20 16,2.6573143,35.646053,0,35.64605331
04-01-20 17,7.0957394,41.116066,0,41.11606598
04-01-20 18,0,50.09122,0,50.09122086
04-01-20 19,0,45.438774,0,45.43877411
