datetime,irradiation(t-24hr)(W/m^2),Power(t-24hr)(W),Predicted(W),Actual(W),error(W)
19-05-17 11,924.0919919,3931.534963,2705.479,630.9731847,2074.505819
19-05-17 12,1042.138473,4252.828347,3195.7983,537.5364878,2658.261852
19-05-17 13,966.9705305,4001.674561,3478.5625,602.5968776,2875.965622
19-05-17 14,851.2154818,3626.813103,3461.3206,622.605909,2838.714648
19-05-17 15,680.6219229,3045.665311,3205.113,601.2546416,2603.858395
19-05-17 16,451.8491894,2171.778779,2808.1064,557.5848314,2250.521614
19-05-17 17,211.4661284,1092.757714,2263.905,413.5966857,1850.308344
19-05-17 18,78.49088953,335.1876372,1531.7742,369.5769568,1162.197213
19-05-17 19,39.69864118,141.2381009,762.8286,272.4642802,490.3643331
19-05-17 20,8.019607972,19.7323057,194.76588,213.233367,-18.46748261
19-05-17 21,0,0,66.42257,89.873326,-23.45075672
19-05-17 22,0,0,11.907063,8.889079639,3.017982891
19-05-17 23,0,0,-12.681666,0,-12.68166637
20-05-17 00,0,0,-20.996893,0,-20.99689293
20-05-17 01,0,0,-22.853622,0,-22.85362244
20-05-17 02,0,0,-19.261087,0,-19.26108742
20-05-17 03,0.006172997,0,-10.479689,0,-10.47968864
20-05-17 04,0.006884427,0,-5.3763328,0,-5.37633276
20-05-17 05,11.55628412,27.19406133,-4.895803,0,-4.895802975
20-05-17 06,93.28351161,279.0475313,-15.243667,0,-15.24366665
20-05-17 07,299.1334174,1221.957893,1.3052936,44.0268986,-42.72160504
20-05-17 08,553.0734087,2614.484919,163.06111,241.4233543,-78.36224285
20-05-17 09,778.6980715,3513.844235,653.076,648.635825,4.440163779
20-05-17 10,944.0593025,4063.417049,1490.5059,1413.573583,76.93227627
20-05-17 11,1038.886989,4296.816005,2068.3342,2513.74554,-445.4113118
20-05-17 12,1054.74184,4313.833446,2365.4727,3589.033215,-1223.560559
20-05-17 13,988.3235778,4075.93187,2504.7827,3647.236983,-1142.454268
20-05-17 14,852.8107098,3605.636209,2497.51,3021.958288,-524.4482783
20-05-17 15,659.1591315,2920.866714,2371.9387,3380.291737,-1008.353016
20-05-17 16,416.2600017,1986.302975,2128.9717,2187.636557,-58.66487699
20-05-17 17,174.1176909,908.574951,1630.3019,3015.91255,-1385.61067
20-05-17 18,59.61742591,238.9288893,1180.4998,1940.482677,-759.982921
20-05-17 19,37.65920024,126.9857392,704.87,1063.497268,-358.6272728
20-05-17 20,9.449043328,22.64397502,379.10474,450.4346502,-71.32991388
20-05-17 21,0,0,104.38823,205.1457282,-100.7574989
20-05-17 22,0,0,-5.785955,42.70081309,-48.48676804
20-05-17 23,0,0,-19.90205,0,-19.90205002
21-05-17 00,0,0,-21.625978,0,-21.62597847
21-05-17 01,0,0,-20.113377,0,-20.11337662
21-05-17 02,0,0,-18.496124,0,-18.49612427
21-05-17 03,0,0,-17.28612,0,-17.28611946
21-05-17 04,0,0,-19.37304,0,-19.37303925
21-05-17 05,6.479846969,17.2597532,-21.855328,0,-21.85532761
21-05-17 06,37.65971048,158.8612986,-27.00245,0,-27.00245094
21-05-17 07,76.12878994,348.4301554,52.653503,4.152695334,48.50080808
21-05-17 08,106.2762491,495.5806542,311.77893,212.7892444,98.98968628
21-05-17 09,134.0863191,630.9731847,906.52325,519.4702703,387.0529841
21-05-17 10,116.2180547,537.5364878,1783.9457,1056.075553,727.8701252
21-05-17 11,129.7990637,602.5968776,2396.4768,1906.014621,490.4621852
21-05-17 12,134.003187,622.605909,2887.9553,2846.664826,41.2904965
21-05-17 13,130.2177921,601.2546416,3120.2769,3864.145775,-743.8689194
21-05-17 14,121.4163753,557.5848314,2970.3438,3720.286724,-749.9429744
21-05-17 15,92.25103609,413.5966857,2939.6418,3819.728788,-880.0869418
21-05-17 16,82.25921457,369.5769568,2376.387,3344.85196,-968.4649975
21-05-17 17,61.72046835,272.4642802,2222.1492,2802.576458,-580.4272883
21-05-17 18,48.65628693,213.233367,1500.691,1919.51296,-418.8219196
21-05-17 19,22.69096194,89.873326,788.6411,945.4844259,-156.8433126
21-05-17 20,3.130077095,8.889079639,268.0932,436.0398266,-167.9466259
21-05-17 21,0,0,77.76541,202.1372571,-124.3718457
21-05-17 22,0,0,10.163783,21.84769585,-11.68391277
21-05-17 23,0,0,-18.204216,0,-18.204216
22-05-17 00,0,0,-24.498365,0,-24.4983654
22-05-17 01,0,0,-23.098692,0,-23.09869194
22-05-17 02,0,0,-16.369036,0,-16.36903572
22-05-17 03,0,0,-10.837371,0,-10.83737087
22-05-17 04,0,0,-8.17858,0,-8.178580284
22-05-17 05,10.53493311,44.0268986,-12.472542,0,-12.47254181
22-05-17 06,52.56141499,241.4233543,-21.452763,0,-21.4527626
22-05-17 07,133.2763711,648.635825,-19.11791,53.51631514,-72.63422552
22-05-17 08,290.924728,1413.573583,101.24515,254.8262056,-153.5810579
22-05-17 09,529.1304607,2513.74554,438.4163,832.5622449,-394.1459546
22-05-17 10,814.1622839,3589.033215,1361.9313,2418.486549,-1056.555274
22-05-17 11,849.6084606,3647.236983,2209.964,3270.720624,-1060.756513
22-05-17 12,702.360296,3021.958288,2712.0457,3748.194431,-1036.148777
22-05-17 13,779.3209766,3380.291737,3152.178,3287.794618,-135.6166393
22-05-17 14,473.9026507,2187.636557,3245.1472,2637.198238,607.9489785
22-05-17 15,656.7748541,3015.91255,3235.474,3945.70623,-710.2321092
22-05-17 16,397.6190176,1940.482677,2917.0657,2634.090524,282.9751503
22-05-17 17,205.6644279,1063.497268,2457.5,2351.41899,106.0810101
22-05-17 18,97.62816737,450.4346502,1724.9833,1557.677134,167.3061422
22-05-17 19,47.68762001,205.1457282,907.7899,923.176834,-15.38691698
22-05-17 20,10.97271531,42.70081309,357.5947,589.2416349,-231.6469389
22-05-17 21,0,0,99.13282,171.5062293,-72.37340914
22-05-17 22,0,0,6.254504,16.83290233,-10.57839813
22-05-17 23,0,0,-17.306448,0,-17.30644798
23-05-17 00,0,0,-24.323751,0,-24.32375145
23-05-17 01,0,0,-24.153433,0,-24.15343285
23-05-17 02,0.006617065,0,-18.840078,0,-18.84007835
23-05-17 03,0,0,-11.831788,0,-11.83178806
23-05-17 04,0,0,-8.418444,0,-8.41844368
23-05-17 05,2.271743216,4.152695334,-8.103376,0,-8.103376389
23-05-17 06,47.23692023,212.7892444,-20.277443,0,-20.27744293
23-05-17 07,112.6371701,519.4702703,40.180943,0,40.18094254
23-05-17 08,219.1333725,1056.075553,232.00723,62.63645432,169.3707783
23-05-17 09,402.6291644,1906.014621,730.93243,219.7840338,511.1484003
23-05-17 10,631.1053583,2846.664826,1793.1144,424.0845218,1369.029858
23-05-17 11,914.3334604,3864.145775,2579.69,545.0267835,2034.663158
23-05-17 12,882.9564278,3720.286724,3083.7473,567.2270604,2516.520254
23-05-17 13,923.8578656,3819.728788,3091.8096,894.8463063,2196.963264
23-05-17 14,786.9679396,3344.85196,2810.649,1399.533184,1411.115742
23-05-17 15,630.495281,2802.576458,3002.7407,1993.937065,1008.803658
23-05-17 16,404.3848064,1919.51296,2434.4004,1253.778345,1180.622046
23-05-17 17,189.6590852,945.4844259,2018.969,681.6569045,1337.31209
23-05-17 18,97.75502142,436.0398266,1324.1356,276.7085464,1047.427074
23-05-17 19,49.66766149,202.1372571,713.8914,161.0327563,552.8586622
23-05-17 20,8.105956624,21.84769585,317.75595,130.3798069,187.376144
23-05-17 21,0,0,74.74022,57.35933555,17.38088357
23-05-17 22,0.012386596,0,0.061546396,2.221932952,-2.160386556
