Time,variables1,variables2,variables3,variables4,variables5
25-01-18 10,38.83313,6.564629,301.80864138381,11.0087185546295,1590.39019006017
25-01-18 11,94.39426,8.424629,309.831667743405,12.9425320808531,1595.93715337846
25-01-18 12,147.84467,9.764629,148.392083907219,11.2168731400735,725.945590215181
25-01-18 13,176.99667,10.884629,90.3953688209687,10.452395463897,429.822929642058
25-01-18 14,193.55421,10.94463,70.1539520237639,10.1731478049965,328.392889857458
25-01-18 15,170.03287,11.25463,32.2811469235442,9.33779113998511,140.953184921889
25-01-18 16,122.99681,11.1046295,2.60928975485834,8.62998450534975,6.42513253708591
25-01-18 17,59.576405,10.054629,0.0552522260201241,7.68976810871139,0
25-01-18 18,5.54412,7.944629,0.262870998527222,6.85354391685615,0
25-01-18 19,0,6.204629,1.00000050000001,6.33375335056274,0
25-01-18 20,0,5.474629,0.951546594028149,6.15651251025959,0
25-01-18 21,0,5.154629,0.677250118119797,6.07803169363324,0
25-01-18 22,0,4.674629,0.827400040531982,6.08114487266601,0
25-01-18 23,0,4.084629,0.804580918522305,6.03990178748784,0
26-01-18 00,0,3.3946292,0.634043503268096,5.71916627659355,0
26-01-18 01,0,2.814629,0.232668496359217,4.51761093729813,0
26-01-18 02,0,2.1846292,0.111074626048308,3.90915320578827,0
26-01-18 03,0,1.4946293,0.0320513338733894,4.83278777963526,0
26-01-18 04,0,1.1646292,0.0508071681609055,5.05384066887458,0
26-01-18 05,0,1.1446292,0.0127729776737095,4.66472292886119,0
26-01-18 06,0,1.2046293,0.354146628982759,4.04769981333655,0
26-01-18 07,0,1.0346292,0.377916309038958,4.10174035981056,0.00703512429471244
26-01-18 08,0,0.8446293,23.311878770414,3.79557474355229,109.996088760409
26-01-18 09,2.1991522,1.2846292,56.7135152489303,4.12424339079051,286.205627800949
26-01-18 10,41.723423,2.334629,118.377222764225,5.32788845156123,613.488844679351
26-01-18 11,96.478714,3.9646292,192.007146019036,6.86541225121798,998.551216297079
26-01-18 12,148.5385,6.174629,193.503325988587,8.5267707147924,1005.76566647478
26-01-18 13,174.15793,7.9946294,176.051245287208,9.05952843383305,920.223196477154
26-01-18 14,171.7716,8.094629,114.624215384827,9.28059281589264,590.755096819451
26-01-18 15,133.8157,9.04463,54.1562368277646,8.96369446925509,276.196886244562
26-01-18 16,105.36601,9.434629,6.14349423090406,8.1390855051013,22.6622316320078
26-01-18 17,53.936283,9.02463,0.00638817400174005,7.38799773444054,0
26-01-18 18,4.62362,8.20463,0.0188990834107631,6.5441928511723,0
26-01-18 19,0,7.294629,0.916641557636143,5.90216484955443,0
26-01-18 20,0,5.1146293,0.89088153096084,5.49443128105315,0
26-01-18 21,0,3.4646292,0.728034785670259,5.57331369342138,0
26-01-18 22,0,3.3946292,0.914529234270741,6.04159695709057,0
26-01-18 23,0,3.2646291,0.891555688165446,5.94502798793974,0
27-01-18 00,0,3.0146291,0.887554195042145,6.13830177380976,0
27-01-18 01,0,1.8146293,0.870144044538571,6.29736670511654,0
27-01-18 02,0,2.2446291,0.686800122670948,6.37645419470869,0
27-01-18 03,0,2.564629,0.751454126353911,6.16034180554124,0
27-01-18 04,0,2.794629,0.962724672969886,6.1477174188087,0
27-01-18 05,0,2.4346292,0.993827919485002,6.34544049843989,0
27-01-18 06,0,2.7646291,0.900977065817038,6.4289494299521,0
27-01-18 07,0,2.9146292,0.969234960622964,6.39875230728965,0
27-01-18 08,0,3.044629,6.70045712640442,6.53141897231443,14.4929808691718
27-01-18 09,0.3978256,3.284629,23.9955333273783,6.883816423891,89.1425385393584
27-01-18 10,27.532572,4.224629,55.2482517060837,7.23520514456032,245.579526745417
27-01-18 11,72.822784,5.3446293,118.31006341269,8.23033194445855,569.389223128094
27-01-18 12,125.821075,6.334629,105.989865732252,8.64512429840193,505.013767930678
27-01-18 13,143.77347,6.934629,76.7705835374688,8.79361587647866,350.587056994531
27-01-18 14,135.58015,6.8046293,46.7992971719709,8.54972041282454,207.457863667724
27-01-18 15,147.16818,7.694629,32.7199602130064,8.42790773861628,141.482834105104
27-01-18 16,94.123795,7.814629,3.01619954331583,8.07003286726752,5.02945926202898
27-01-18 17,34.21511,7.5346293,0.425266764788839,7.81681821534203,0
27-01-18 18,5.359917,7.184629,0.913818374594837,7.71108180656123,0
27-01-18 19,0,6.964629,0.648248017411964,7.52271899784037,0
27-01-18 20,0,6.8246293,0.676438035418178,7.30719341153936,0
27-01-18 21,0,6.5746293,0.527726696758786,7.05126330957128,0
27-01-18 22,0,6.294629,0.466198732797252,6.71714150481213,0
27-01-18 23,0,5.874629,0.503236925699782,6.45357047686203,0
28-01-18 00,0,5.4946294,0.846336374370997,5.83624231959634,0
28-01-18 01,0,5.214629,0.937261106639294,5.39820450991649,0
28-01-18 02,0,4.0346293,0.523967521231893,5.09670251845008,0
28-01-18 03,0,3.3846292,0.968063896415857,4.75125393731048,0
28-01-18 04,0,3.2146292,0.837170576551322,5.1990775869137,0
28-01-18 05,0,3.554629,0.754372446924207,5.82705034961294,0
28-01-18 06,0,4.0546293,0.437868827264311,6.49249489983784,0
28-01-18 07,0,4.674629,0.570630228592312,6.79298435654299,0
28-01-18 08,0,5.154629,6.34205760962909,7.12258961158699,12.2270750667386
28-01-18 09,1.206093,5.404629,26.4631510135024,6.64528106304961,103.956864545397
28-01-18 10,27.329865,5.9946294,44.1442520071819,8.15285404030227,190.947382907559
28-01-18 11,82.67935,7.8846292,77.2032002269506,9.10611780435794,358.235569133316
28-01-18 12,130.97006,8.08463,36.3513604657727,8.84809748388353,145.193961847289
28-01-18 13,172.56561,8.974629,123.328066218353,9.59040108559278,625.922991182628
28-01-18 14,187.15175,9.28463,132.801969048593,10.7491790688968,679.52087461579
28-01-18 15,138.70523,9.49463,9.33928914386766,9.8266268002737,30.7986873954764
28-01-18 16,92.66004,9.6046295,1.55319563026306,9.43616549478968,1.68031407988066
28-01-18 17,52.65849,9.25463,0.62559035733785,9.57962973989705,0
28-01-18 18,6.482937,8.87463,4.25988586071964e-05,9.4986978633723,0
28-01-18 19,0,8.78463,0.503311640503909,9.53862538600581,0
28-01-18 20,0,8.48463,0.355344831277715,9.72632561092283,0
28-01-18 21,0,8.50463,0.25053808485875,9.60218958023855,0
28-01-18 22,0,8.08463,0.739672284015546,9.55561726365559,0
28-01-18 23,0,7.894629,0.748100449575395,9.66343590005726,0
29-01-18 00,0,7.734629,0.744773410514644,9.64665369879246,0
29-01-18 01,0,7.454629,0.145009019454332,9.76678154652971,0
29-01-18 02,0,7.7446294,0.0957828454204857,9.90476720709715,0
29-01-18 03,0,8.1046295,0.23698855114753,10.0229544274763,0
29-01-18 04,0,8.434629,0.170226577000101,10.0621142577397,0
29-01-18 05,0,8.62463,0.0446719203644483,10.1729887249179,0
29-01-18 06,0,8.48463,0.233681666944035,10.5127762068761,0
29-01-18 07,0,7.794629,0.00669538947063849,10.670671655102,0
29-01-18 08,0,7.524629,11.9204756997207,10.9218016378166,40.1210487617314
29-01-18 09,3.0407004,7.484629,49.9252819111093,11.5768193176548,223.069251790208
29-01-18 10,52.342087,8.58463,42.1710358932822,11.2955660354088,176.117443325213
29-01-18 11,118.08297,10.634629,64.8132698173764,11.7076799163248,291.382351236167
29-01-18 12,170.91895,11.684629,97.3581331644026,12.2187273227103,460.872779836328
29-01-18 13,205.19202,11.99463,53.0102017965903,12.0441612195793,233.152762155802
29-01-18 14,206.97067,12.07463,21.1416610976934,11.7580752066515,74.561711132513
29-01-18 15,137.56155,11.45463,11.2064742107712,11.6214625993515,30.310559484477
29-01-18 16,93.88907,11.24463,0.874537544881795,11.5343792037029,0.000159196083473009
29-01-18 17,47.461964,11.1046295,0.000278675347160857,11.4336937438448,0
29-01-18 18,8.804977,9.66463,0.0177323100685701,11.458894653995,0
29-01-18 19,0,9.464629,0.365158134211398,10.6729697888865,0
29-01-18 20,0,9.184629,0.677939158270723,10.3526197838228,0
29-01-18 21,0,9.014629,0.674497454311899,10.8994531307669,0
29-01-18 22,0,8.83463,0.557594814862414,11.0938313131098,0
29-01-18 23,0,8.66463,0.682651589703204,10.3439534510393,0
30-01-18 00,0,8.434629,0.710810205634631,10.172730500845,0
30-01-18 01,0,8.214629,0.638315602032472,9.3433713166801,0
30-01-18 02,0,7.8246293,0.568456674907541,7.45862197880828,0
30-01-18 03,0,6.254629,0.797956186850313,6.91803165722024,0
30-01-18 04,0,5.484629,0.467294600113928,6.00238923752694,0
30-01-18 05,0,4.1146293,0.638983662209106,5.6407872275857,0
30-01-18 06,0,3.334629,0.326666339387598,5.41791601946288,0
30-01-18 07,0,2.804629,2.5570721699533,5.2387164541285,4.38949082985674
30-01-18 08,0,2.4046292,67.4140960820126,5.88178121632713,494.103418573093
30-01-18 09,3.230213,2.4746292,200.005840242062,7.92051171532973,1205.70446894558
30-01-18 10,39.54162,2.804629,91.3661533545985,7.12208243706283,450.047972311166
30-01-18 11,84.53778,3.4146292,360.334993567012,8.67838736081165,1891.82549654423
30-01-18 12,160.47232,4.424629,154.338580615801,8.38634033860192,777.111125278472
30-01-18 13,196.19292,5.164629,263.433434022588,9.54418980239701,1418.46006887247
30-01-18 14,198.4869,6.184629,107.264142718252,8.25603596494974,548.098178021481
30-01-18 15,174.28683,6.3846292,68.8404025425181,8.10547656382374,426.825494545731
30-01-18 16,129.35657,6.714629,10.4999900935089,6.97900294499991,49.9107355655482
30-01-18 17,71.5377,6.3646293,0.657941970635835,6.13992485935421,0
30-01-18 18,10.666854,5.484629,0.72372785005556,6.03722698141452,0
30-01-18 19,0,4.5746293,0.769686820972124,5.83574411948177,0
30-01-18 20,0,3.794629,0.963674319762507,5.50677259631006,0
30-01-18 21,0,3.064629,0.605772244045156,5.27631741279564,0
30-01-18 22,0,2.3746293,0.627241064008305,4.29299866224586,0
30-01-18 23,0,1.7346293,0.666583506293639,3.70776565701916,0
31-01-18 00,0,1.6046293,0.861073713451532,3.36365244148203,0
31-01-18 01,0,1.6846293,0.993837455288075,3.56649753449019,0
31-01-18 02,0,1.7046293,0.885666686336774,3.85729472449602,0
31-01-18 03,0,1.6646292,0.968559478578625,3.58710547259023,0
31-01-18 04,0,1.3446293,0.838767143109815,2.9685762322876,0
31-01-18 05,0,1.6046293,0.917492446064015,2.49440756193874,0
31-01-18 06,0,1.6346292,0.937611243625607,2.17382937834544,0
31-01-18 07,0,0.18462925,2.30473402026441,2.01345691417678,3.45345236199289
31-01-18 08,0,-0.25537074,47.6814304088432,2.60661689828887,292.426373778879
31-01-18 09,3.6054745,0.30462924,258.654612466164,5.51476444670136,1624.81642200274
31-01-18 10,43.888035,1.9946293,501.215100361249,8.66473349691274,2776.73974601425
31-01-18 11,100.06289,4.6146293,368.579004644466,8.86360265135175,2001.25877792674
31-01-18 12,145.9512,6.254629,409.125041912896,9.80363382726149,2192.49348992072
31-01-18 13,200.0864,7.8246293,265.970921977039,9.76610501151386,1430.09216103845
31-01-18 14,211.1717,8.82463,107.133395371614,9.23291624640202,542.859304557714
31-01-18 15,185.77687,9.3546295,24.3375149961363,8.43451991842545,98.120863918007
31-01-18 16,119.48821,8.934629,4.7720339534278,7.90977888567996,13.3883166511548
31-01-18 17,41.13525,9.12463,0.178723981010962,7.89785516872036,0
31-01-18 18,8.818825,8.48463,0,8.26794302644857,0
31-01-18 19,0,7.624629,0.000604317789937535,8.1453606056679,0
31-01-18 20,0,6.934629,0.297354239030326,8.10989268995795,0
31-01-18 21,0,6.964629,0.171719515994831,7.95948648441655,0
31-01-18 22,0,6.8446293,0.176637298989508,7.80583521225643,0
31-01-18 23,0,6.674629,0.371910861219684,7.5956882631066,0
01-02-18 00,0,6.654629,0.875703481870429,7.58669518347678,0
01-02-18 01,0,6.5346293,0.808863661419295,7.65800119203121,0
01-02-18 02,0,6.4946294,0.707901129046591,7.73160337036683,0
01-02-18 03,0,6.2446294,0.474013775794718,7.82492419895575,0
01-02-18 04,0,6.164629,0.843107176427288,7.93481474390838,0
01-02-18 05,0,6.8446293,0.943351902819008,7.81112118452683,0
01-02-18 06,0,7.024629,0.872507164529463,7.79254282642217,0
01-02-18 07,0,6.794629,0.943226387897261,7.64907302418724,0
01-02-18 08,0,5.914629,6.97101738754749,7.14637537547211,15.4737088117885
01-02-18 09,3.9809198,6.234629,18.4296595787848,7.27982355502103,63.4426451166982
01-02-18 10,34.46183,6.024629,25.8470473473244,7.30579231282631,93.213925447805
01-02-18 11,96.23391,5.654629,31.8537506737248,6.50844580642552,120.173350917471
01-02-18 12,101.90201,5.3846292,52.2124357421289,6.21656249607878,226.809477352346
01-02-18 13,83.38674,6.0946293,50.5586322577988,6.30990714396156,224.587349453352
01-02-18 14,12.801033,7.2846293,50.5613856134491,6.32625670242022,233.101972792283
01-02-18 15,9.1460495,5.774629,22.443384136431,6.03502572415454,90.7430765348677
01-02-18 16,14.978611,4.664629,4.11700773206372,5.84088082396567,11.3521064188494
01-02-18 17,35.970207,4.7446294,0.39927854788453,5.35423110205611,0
01-02-18 18,3.9648335,4.1346292,0.135055430347383,5.24302130310603,0
01-02-18 19,0,3.8746293,0.121815299329561,5.19633839044919,0
01-02-18 20,0,3.6246293,0.763075177594121,5.10118260892887,0
01-02-18 21,0,3.4446292,0.397280874255035,5.11641260716192,0
01-02-18 22,0,3.1546292,0.386970575230194,4.96267508120479,0
01-02-18 23,0,2.9546292,0.772628577154817,4.80483479178502,0
02-02-18 00,0,2.9846292,0.845706545691676,4.75277935736388,0
02-02-18 01,0,2.7046292,0.981140590299484,4.91710291363976,0
02-02-18 02,0,2.604629,0.987179333008788,4.86665914796006,0
02-02-18 03,0,2.4246292,0.993396946087084,4.83110387156605,0
02-02-18 04,0,2.354629,0.906046832718853,4.25758682635466,0
02-02-18 05,0,2.1246293,0.987265630481069,3.87344926389873,0
02-02-18 06,0,1.7546293,1.01926389174539,3.87935864863694,0
02-02-18 07,0,1.6646292,1.56153357867655,3.68658018091847,0.564772194172372
02-02-18 08,0,1.5346292,36.1894976489772,3.59598071828303,179.252417291717
02-02-18 09,5.0890136,1.7846292,139.954101977881,4.74088813115721,796.422251946648
02-02-18 10,59.79353,3.344629,225.411300768718,6.29195265126,1214.61807300102
02-02-18 11,110.77306,4.404629,317.121281360849,7.90866898812963,1707.64902723907
02-02-18 12,145.21863,5.144629,192.501711085274,8.42487474023414,997.649109592858
02-02-18 13,172.00403,5.714629,231.456985972207,8.65724191837904,1248.52483055228
02-02-18 14,192.11548,7.1146293,162.145459118144,8.70292233674785,903.18430522232
02-02-18 15,153.0855,7.274629,75.0189059803554,7.33952808408468,412.917450522228
